Nombre,IdFutwiz,Enlace,Media,Calidad,Ritmo,Tiro,Pase,Regate,Defensa,Fisico
Matty Taylor,10362,https://www.futwiz.com/en/fifa22/player/matty-taylor/10362,67,silver-nr,74,66,58,67,26,64
Andrew Wooten,10363,https://www.futwiz.com/en/fifa22/player/andrew-wooten/10363,67,silver-nr,70,66,63,65,34,75
Zubiaurre,10364,https://www.futwiz.com/en/fifa22/player/zubiaurre/10364,67,silver-nr,65,66,67,68,30,63
Roman Kerschbaum,10365,https://www.futwiz.com/en/fifa22/player/roman-kerschbaum/10365,67,silver-nr,65,65,64,63,65,72
Patryk Klimala,10366,https://www.futwiz.com/en/fifa22/player/patryk-klimala/10366,67,silver,82,64,48,65,31,72
Richard Boateng,10367,https://www.futwiz.com/en/fifa22/player/richard-boateng/10367,67,silver-nr,70,65,62,66,65,76
Mike Cestor,10368,https://www.futwiz.com/en/fifa22/player/mike-cestor/10368,67,silver,77,25,46,51,65,76
Cheikh Niasse,10369,https://www.futwiz.com/en/fifa22/player/cheikh-niasse/10369,67,silver-nr,59,44,59,64,64,70
Crysencio Summerville,10370,https://www.futwiz.com/en/fifa22/player/crysencio-summerville/10370,67,silver,88,61,58,70,24,46
Juande,10371,https://www.futwiz.com/en/fifa22/player/juande/10371,67,silver-nr,55,48,61,62,63,76
Antonio Milic,10372,https://www.futwiz.com/en/fifa22/player/antonio-milic/10372,67,silver-nr,39,41,59,50,69,71
Jeremy Livolant,10373,https://www.futwiz.com/en/fifa22/player/jeremy-livolant/10373,67,silver-nr,72,59,65,68,57,62
Petter Strand,10374,https://www.futwiz.com/en/fifa22/player/petter-strand/10374,67,silver,84,62,64,69,60,70
Pavel Sulc,10375,https://www.futwiz.com/en/fifa22/player/pavel-sulc/10375,67,silver-nr,70,54,68,72,35,54
Philipp Hercher,10376,https://www.futwiz.com/en/fifa22/player/philipp-hercher/10376,67,silver-nr,77,60,61,66,58,73
Thomas Rogne,10377,https://www.futwiz.com/en/fifa22/player/thomas-rogne/10377,67,silver-nr,48,27,51,48,67,70
Samuel Sahin-Radlinger,10378,https://www.futwiz.com/en/fifa22/player/samuel-sahin-radlinger/10378,67,silver-nr,68,62,59,70,40,66
Alex Valera,10379,https://www.futwiz.com/en/fifa22/player/alex-valera/10379,67,libertadores,69,69,46,65,19,60
Fabio Daprela,10380,https://www.futwiz.com/en/fifa22/player/fabio-daprela/10380,67,silver,75,56,61,65,66,78
Philipp Klewin,10381,https://www.futwiz.com/en/fifa22/player/philipp-klewin/10381,67,silver-nr,67,63,60,66,42,69
Ibrahim Ozturk,10382,https://www.futwiz.com/en/fifa22/player/ibrahim-ozturk/10382,67,silver-nr,32,43,48,48,68,74
Alan Czerwinski,10383,https://www.futwiz.com/en/fifa22/player/alan-czerwinski/10383,67,silver-nr,82,42,61,64,61,70
Andrew Nabbout,10384,https://www.futwiz.com/en/fifa22/player/andrew-nabbout/10384,67,silver,76,65,63,68,32,75
Simon Moore,10385,https://www.futwiz.com/en/fifa22/player/simon-moore/10385,67,silver-nr,66,68,70,67,49,64
Clint Leemans,10386,https://www.futwiz.com/en/fifa22/player/clint-leemans/10386,67,silver,54,71,71,64,58,72
