Nombre,IdFutwiz,Enlace,Media,Calidad,Ritmo,Tiro,Pase,Regate,Defensa,Fisico
Ruan Teles,20891,https://www.futwiz.com/en/fifa22/player/ruan-teles/20891,62,totswap,76,62,59,67,30,47
Kevin Schade,20892,https://www.futwiz.com/en/fifa22/player/kevin-schade/20892,62,totswap,69,61,53,64,23,55
Cristian Cherchez,20893,https://www.futwiz.com/en/fifa22/player/cristian-cherchez/20893,62,totswap,69,63,57,62,32,58
Piotr Starzynski,20894,https://www.futwiz.com/en/fifa22/player/piotr-starzynski/20894,62,totswap,82,50,57,63,31,53
Julian Eseiza,20895,https://www.futwiz.com/en/fifa22/player/julian-eseiza/20895,62,totswap,62,33,49,57,63,65
Andreas Mihaiu,20896,https://www.futwiz.com/en/fifa22/player/andreas-mihaiu/20896,62,totswap,76,55,56,62,21,54
Jorge Chanza,20897,https://www.futwiz.com/en/fifa22/player/jorge-chanza/20897,62,totswap,62,63,64,61,33,60
Maurits Kjaergaard,20898,https://www.futwiz.com/en/fifa22/player/maurits-kjaergaard/20898,62,totswap,71,58,59,62,57,68
Brandon Baiye,20899,https://www.futwiz.com/en/fifa22/player/brandon-baiye/20899,62,totswap,55,36,51,59,61,67
Sami Belkorchia,20900,https://www.futwiz.com/en/fifa22/player/sami-belkorchia/20900,62,totswap,56,33,51,48,59,56
Luca Kerber,20901,https://www.futwiz.com/en/fifa22/player/luca-kerber/20901,62,totswap,69,46,60,67,53,59
Ivan Saravanja,20902,https://www.futwiz.com/en/fifa22/player/ivan-saravanja/20902,62,totswap,54,32,51,47,63,57
Ovidiu Perianu,20903,https://www.futwiz.com/en/fifa22/player/ovidiu-perianu/20903,62,totswap,72,51,51,62,59,68
Markus Wallner,20904,https://www.futwiz.com/en/fifa22/player/markus-wallner/20904,62,totswap,78,62,54,63,28,55
Diego Guti,20905,https://www.futwiz.com/en/fifa22/player/diego-guti/20905,62,totswap,62,44,56,62,61,56
Jonatan Braut-Brunes,20906,https://www.futwiz.com/en/fifa22/player/jonatan-braut-brunes/20906,62,totswap,72,59,54,64,41,67
Nils Piwernetz,20907,https://www.futwiz.com/en/fifa22/player/nils-piwernetz/20907,62,totswap,71,31,44,60,61,61
Facundo Ferrero,20908,https://www.futwiz.com/en/fifa22/player/facundo-ferrero/20908,62,totswap,64,62,59,60,32,58
Moussa Doumbouya,20909,https://www.futwiz.com/en/fifa22/player/moussa-doumbouya/20909,62,totswap,70,61,47,62,19,60
Oliver Ekroth,20910,https://www.futwiz.com/en/fifa22/player/oliver-ekroth/20910,62,totswap,57,22,45,43,61,69
Samuel Guibert,20930,https://www.futwiz.com/en/fifa22/player/samuel-guibert/20930,62,totswap,41,47,51,53,61,70
Rafael Arace,21281,https://www.futwiz.com/en/fifa22/player/rafael-arace/21281,62,libertadores,80,63,56,65,27,56
Oskar Buur Rasmussen,17300,https://www.futwiz.com/en/fifa22/player/oskar-buur-rasmussen/17300,62,bronze-nr,73,35,57,64,55,62
Tino Anjorin,17367,https://www.futwiz.com/en/fifa22/player/tino-anjorin/17367,62,bronze-nr,69,57,60,62,44,62
Nathan Monzango,17368,https://www.futwiz.com/en/fifa22/player/nathan-monzango/17368,62,bronze,62,28,42,48,64,54
Jay Chapman,19672,https://www.futwiz.com/en/fifa22/player/jay-chapman/19672,62,bronze-nr,63,55,60,65,52,69
Ramon Sosa,19673,https://www.futwiz.com/en/fifa22/player/ramon-sosa/19673,62,bronze,74,52,56,62,48,58
Jung Sang Bin,19674,https://www.futwiz.com/en/fifa22/player/jung-sang-bin/19674,62,bronze,85,58,56,64,24,61
Thomas O'Connor,19675,https://www.futwiz.com/en/fifa22/player/thomas-oconnor/19675,62,bronze-nr,66,46,58,58,57,69
Tom Dallison,19676,https://www.futwiz.com/en/fifa22/player/tom-dallison/19676,62,bronze,45,26,45,46,60,75
Frederik Alves,19677,https://www.futwiz.com/en/fifa22/player/frederik-alves/19677,62,bronze-nr,52,30,40,47,62,70
Tom Sang,19678,https://www.futwiz.com/en/fifa22/player/tom-sang/19678,62,bronze-nr,65,45,53,58,59,65
Michal Kaput,19679,https://www.futwiz.com/en/fifa22/player/michal-kaput/19679,62,bronze-nr,59,42,57,53,58,64
Desire Segbe Azankpo,19680,https://www.futwiz.com/en/fifa22/player/desire-segbe-azankpo/19680,62,bronze,76,59,45,58,27,74
Pablo Ortiz,19681,https://www.futwiz.com/en/fifa22/player/pablo-ortiz/19681,62,bronze,71,24,38,47,63,62
Ali Majrashi,19682,https://www.futwiz.com/en/fifa22/player/ali-majrashi/19682,62,bronze,80,45,48,62,54,73
Ollie Palmer,19683,https://www.futwiz.com/en/fifa22/player/ollie-palmer/19683,62,bronze,62,60,45,57,25,78
Ameen Al-Dakhil,19684,https://www.futwiz.com/en/fifa22/player/ameen-al-dakhil/19684,62,bronze-nr,68,27,48,51,59,71
Emanuel Emegha,19685,https://www.futwiz.com/en/fifa22/player/emanuel-emegha/19685,62,bronze,73,60,50,58,29,63
Tino Anjorin,19686,https://www.futwiz.com/en/fifa22/player/tino-anjorin/19686,62,bronze-nr,69,57,60,62,44,62
Osaze Urhoghide,19687,https://www.futwiz.com/en/fifa22/player/osaze-urhoghide/19687,62,bronze-nr,64,27,44,48,63,66
Ethan Robson,19688,https://www.futwiz.com/en/fifa22/player/ethan-robson/19688,62,bronze-nr,63,56,63,61,58,63
Rafael Arace,18685,https://www.futwiz.com/en/fifa22/player/rafael-arace/18685,62,libertadores,80,63,56,65,27,56
Marco Hausjell,18985,https://www.futwiz.com/en/fifa22/player/marco-hausjell/18985,62,bronze-nr,77,61,56,63,21,54
J'Neil Bennett,18986,https://www.futwiz.com/en/fifa22/player/jneil-bennett/18986,62,bronze-nr,76,59,55,63,32,43
Matias Romero,18987,https://www.futwiz.com/en/fifa22/player/matias-romero/18987,62,bronze,72,55,57,65,58,62
Osama Al Khalaf,18988,https://www.futwiz.com/en/fifa22/player/osama-al-khalaf/18988,62,bronze-nr,76,46,60,63,54,68
Lee Dong Su,18989,https://www.futwiz.com/en/fifa22/player/lee-dong-su/18989,62,bronze-nr,55,45,56,60,60,66
Serhat Koruk,18990,https://www.futwiz.com/en/fifa22/player/serhat-koruk/18990,62,bronze-nr,69,62,41,59,26,63
Kim Ju Kong,18991,https://www.futwiz.com/en/fifa22/player/kim-ju-kong/18991,62,bronze-nr,69,60,55,64,33,63
Matija Sarkic,18992,https://www.futwiz.com/en/fifa22/player/matija-sarkic/18992,62,bronze-nr,63,60,60,62,37,61
D'Mani Mellor,18993,https://www.futwiz.com/en/fifa22/player/dmani-mellor/18993,62,bronze-nr,72,59,53,61,41,64
Reece Devine,18994,https://www.futwiz.com/en/fifa22/player/reece-devine/18994,62,bronze-nr,70,40,55,60,60,63
Max Melbourne,18995,https://www.futwiz.com/en/fifa22/player/max-melbourne/18995,62,bronze-nr,72,31,46,55,60,71
Luke Matheson,18996,https://www.futwiz.com/en/fifa22/player/luke-matheson/18996,62,bronze-nr,76,36,53,61,55,53
Lee Tae Hee,18997,https://www.futwiz.com/en/fifa22/player/lee-tae-hee/18997,62,bronze-nr,72,40,54,58,59,65
Alin Dobrosavlevici,18998,https://www.futwiz.com/en/fifa22/player/alin-dobrosavlevici/18998,62,bronze-nr,54,27,34,35,61,71
Tatsuya Yamashita,18999,https://www.futwiz.com/en/fifa22/player/tatsuya-yamashita/18999,62,bronze-nr,54,29,46,48,63,64
Ryan Loft,19000,https://www.futwiz.com/en/fifa22/player/ryan-loft/19000,62,bronze,61,61,47,57,31,77
Nathan Wood,19001,https://www.futwiz.com/en/fifa22/player/nathan-wood/19001,62,bronze-nr,67,24,39,46,62,65
Vitezslav Jaros,19002,https://www.futwiz.com/en/fifa22/player/vitezslav-jaros/19002,62,bronze-nr,62,57,63,63,39,62
Frederik Alves,19003,https://www.futwiz.com/en/fifa22/player/frederik-alves/19003,62,bronze-nr,52,30,40,47,62,70
Jin Yangyang,19004,https://www.futwiz.com/en/fifa22/player/jin-yangyang/19004,62,bronze-nr,57,29,37,42,62,73
Ivan Mesik,19005,https://www.futwiz.com/en/fifa22/player/ivan-mesik/19005,62,bronze-nr,65,41,59,60,61,68
Gassan Ahadme,19006,https://www.futwiz.com/en/fifa22/player/gassan-ahadme/19006,62,bronze-nr,62,60,50,62,30,65
